Post_ID,Date,Doctor_ID,Specialty,Topic,Content_Type,Reach,Likes,Comments,Shares,Saves,CTA,Total_Engagement,Engagement_Rate,Engagement_per_1K_Reach
P0001,2025-10-05,D006,Pediatrics,Immunity,Educational Post,4019,180,21,17,39,Read More,257,6.394625528738492,63.946255287384915
P0002,2025-01-03,D016,Dermatology,Acne,Reel/Video,3503,179,20,33,37,Read More,269,7.679132172423637,76.79132172423637
P0003,2025-07-13,D007,Pediatrics,Newborn Care,Static Post,3536,216,23,29,35,Save Post,303,8.569004524886878,85.69004524886878
P0004,2025-05-12,D024,Cardiology,Heart Attack,Static Post,3854,182,17,29,32,Learn More,260,6.7462376751427096,67.46237675142709
P0005,2025-12-24,D003,Diabetology,Blood Sugar,Reel/Video,5350,281,36,41,63,Book Appointment,421,7.869158878504673,78.69158878504673
P0006,2025-07-11,D002,Diabetology,HbA1c,Reel/Video,3141,149,20,22,23,Save Post,214,6.813116841770136,68.13116841770136
P0007,2025-05-22,D011,Neurology,Stroke,Carousel,2030,115,5,17,30,Learn More,167,8.226600985221674,82.26600985221674
P0008,2025-08-22,D018,Dermatology,Sunscreen,Educational Post,7984,462,47,62,81,Learn More,652,8.16633266533066,81.66332665330661
P0009,2025-06-15,D013,Neurology,Headache,Static Post,2800,76,10,12,21,Learn More,119,4.25,42.5
P0010,2025-03-23,D027,General Medicine,Weight Loss,Educational Post,1071,34,3,1,6,No CTA,44,4.1083099906629315,41.08309990662932
P0011,2025-10-03,D006,Pediatrics,Newborn Care,Carousel,5572,218,35,28,39,Save Post,320,5.7430007178750895,57.43000717875089
P0012,2025-03-23,D030,General Medicine,Dehydration,Carousel,3989,234,21,23,41,No CTA,319,7.996991727249937,79.96991727249937
P0013,2025-11-01,D027,General Medicine,Fever,Flyer,2966,139,20,24,37,Contact Doctor,220,7.417397167902899,74.173971679029
P0014,2025-06-09,D029,General Medicine,Immunity,Carousel,2830,155,17,27,33,Contact Doctor,232,8.197879858657243,81.97879858657244
P0015,2025-03-22,D026,General Medicine,Vitamin Deficiency,Reel/Video,3621,142,23,17,40,Contact Doctor,222,6.130903065451532,61.309030654515325
P0016,2025-05-03,D017,Dermatology,Sunscreen,Carousel,3870,163,19,16,23,No CTA,221,5.710594315245478,57.10594315245478
P0017,2025-01-16,D010,Pediatrics,Fever,Flyer,3785,248,19,30,37,Save Post,334,8.82430647291942,88.24306472919419
P0018,2025-07-07,D001,Diabetology,HbA1c,Educational Post,2786,76,13,11,17,No CTA,117,4.1995692749461595,41.99569274946159
P0019,2025-12-21,D006,Pediatrics,Fever,Carousel,1008,45,5,5,4,Contact Doctor,59,5.853174603174603,58.53174603174603
P0020,2025-04-21,D001,Diabetology,Blood Sugar,Static Post,4584,99,14,12,20,No CTA,145,3.1631762652705064,31.631762652705063
P0021,2025-01-17,D024,Cardiology,Heart Health,Carousel,1785,82,6,17,14,Read More,119,6.666666666666667,66.66666666666667
P0022,2025-10-12,D008,Pediatrics,Fever,Static Post,5248,400,31,50,65,No CTA,546,10.403963414634147,104.03963414634146
P0023,2025-01-09,D016,Dermatology,Sunscreen,Reel/Video,4533,354,49,43,53,No CTA,499,11.00816236487977,110.0816236487977
P0024,2025-12-09,D028,General Medicine,Fever,Static Post,4586,130,14,15,16,Learn More,175,3.815961622328827,38.15961622328827
P0025,2025-11-11,D002,Diabetology,Insulin,Static Post,4559,212,24,43,46,No CTA,325,7.128756306207501,71.28756306207501
P0026,2025-10-21,D024,Cardiology,Blood Pressure,Educational Post,7778,285,33,37,53,Read More,408,5.245564412445359,52.45564412445359
P0027,2025-11-08,D001,Diabetology,HbA1c,Carousel,4896,185,22,35,48,Contact Doctor,290,5.923202614379084,59.23202614379085
P0028,2025-05-10,D016,Dermatology,Sunscreen,Carousel,4616,291,41,38,59,Save Post,429,9.293760831889083,92.93760831889082
P0029,2025-07-27,D017,Dermatology,Skin Allergy,Educational Post,2103,121,18,17,30,Read More,186,8.84450784593438,88.44507845934379
P0030,2025-01-17,D023,Cardiology,Heart Health,Carousel,3303,142,14,17,19,No CTA,192,5.812897366030881,58.12897366030881
P0031,2025-08-06,D027,General Medicine,Immunity,Carousel,9017,467,63,61,82,No CTA,673,7.463679716091827,74.63679716091826
P0032,2025-09-10,D017,Dermatology,Hair Loss,Static Post,3803,48,6,6,16,Book Appointment,76,1.998422298185643,19.98422298185643
P0033,2025-02-08,D004,Diabetology,Insulin,Flyer,5016,212,24,23,43,Learn More,302,6.020733652312599,60.207336523125996
P0034,2025-04-11,D011,Neurology,Headache,Carousel,2288,91,9,13,20,Book Appointment,133,5.812937062937063,58.129370629370634
P0035,2025-03-26,D014,Neurology,Headache,Flyer,4078,144,18,19,35,Save Post,216,5.29671407552722,52.9671407552722
P0036,2025-12-11,D017,Dermatology,Eczema,Reel/Video,1512,54,9,9,7,Read More,79,5.224867724867725,52.24867724867725
P0037,2025-06-22,D016,Dermatology,Eczema,Static Post,1373,67,8,8,11,Book Appointment,94,6.846321922796796,68.46321922796795
P0038,2025-02-20,D019,Dermatology,Sunscreen,Reel/Video,1702,67,7,11,15,Learn More,100,5.875440658049354,58.75440658049354
P0039,2025-05-28,D020,Dermatology,Sunscreen,Flyer,4627,92,7,12,11,Contact Doctor,122,2.6366976442619405,26.366976442619407
P0040,2025-03-21,D001,Diabetology,Diabetic Diet,Reel/Video,3568,182,22,18,31,Learn More,253,7.0908071748878925,70.90807174887892
P0041,2025-12-16,D027,General Medicine,Vitamin Deficiency,Carousel,1786,85,8,6,24,Learn More,123,6.886898096304591,68.86898096304591
P0042,2025-12-25,D020,Dermatology,Skin Allergy,Static Post,3556,181,22,20,31,Book Appointment,254,7.142857142857142,71.42857142857143
P0043,2025-03-16,D010,Pediatrics,Child Nutrition,Carousel,1945,88,16,10,19,Read More,133,6.838046272493574,68.38046272493574
P0044,2025-10-28,D026,General Medicine,Weight Loss,Carousel,1934,94,10,12,9,Book Appointment,125,6.463288521199587,64.63288521199587
P0045,2025-04-17,D019,Dermatology,Sunscreen,Flyer,3974,112,18,15,23,Learn More,168,4.227478610971314,42.27478610971313
P0046,2025-02-23,D007,Pediatrics,Child Nutrition,Reel/Video,6729,385,33,53,89,Contact Doctor,560,8.322187546440778,83.22187546440779
